,content,id,stems
0,Make your own invisible cloak.,1279,"set([u'invis', u'make', u'cloak'])"
1,A tent that blends in with its sorouundings,1942,"set([u'a', u'sorouund', u'blend', u'tent'])"
2,invisibility cloak,2023,"set([u'invis', u'cloak'])"
3,an indoor mural that can change,208,"set([u'chang', u'indoor', u'mural'])"
4,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.,504,"set([u'use', u'fabric', u'pictur', u'frame', u'larger', u'scroll', u'electron', u'lighter', u'display', u'like'])"
5,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.",803,"set([u'program', u'great', u'appear', u'would', u'artist', u'make', u'it', u'exampl', u'thing', u'base', u'time', u'canva', u'chang', u'differ', u'day'])"
6,Make pretty cool little pictures appear on a white surface,1330,"set([u'surfac', u'appear', u'pretti', u'pictur', u'make', u'littl', u'white', u'cool'])"
7,"Use it as a canvas for art, as it reacts to touch.",1424,"set([u'canva', u'react', u'use', u'art', u'touch'])"
8,Fabric posters that change display,2018,"set([u'poster', u'chang', u'fabric', u'display'])"
9,use to project paintings in frames so you can change the art at whim,2123,"set([u'use', u'whim', u'art', u'frame', u'project', u'paint', u'chang'])"
10,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,291,"set([u'load', u'use', u'identifi', u'like', u'handkerchief', u'commun', u'peopl', u'imag', u'alzheim', u'lost', u'easili', u'inform', u'patient', u'they', u'otherwis', u'get', u'simpl', u'disabl', u'speak'])"
11,Door mat that could leave messages for people at the door.,1628,"set([u'door', u'mat', u'peopl', u'could', u'messag', u'leav'])"
12,it can be used to do skype sessions so someone can feel and touch objects,2177,"set([u'use', u'feel', u'object', u'someon', u'session', u'skype', u'touch'])"
13,It can be used by doctors in order to show patients and family members certain things,2187,"set([u'use', u'patient', u'show', u'certain', u'doctor', u'it', u'member', u'thing', u'famili', u'order'])"
14,use them on a float for a parade to show whatever theme you are trying to represent during the event,251,"set([u'tri', u'use', u'show', u'parad', u'float', u'repres', u'theme', u'whatev', u'event'])"
15,"hot air balloon shows,",1499,"set([u'hot', u'balloon', u'air'])"
16,Use during fashion shows to highlight clothing on the models.,1652,"set([u'use', u'fashion', u'show', u'cloth', u'highlight', u'model'])"
17,back drops for theater productions. This makes scenery easy to change from scene to scene,2124,"set([u'product', u'theater', u'easi', u'make', u'drop', u'back', u'scene', u'sceneri', u'thi', u'chang'])"
18,You can use it to display videos while taking shower or brushing your teeth.,654,"set([u'use', u'shower', u'video', u'take', u'teeth', u'you', u'display', u'brush'])"
19,A towel that is heat sensitive and adjusts its color otherwise.,1443,"set([u'a', u'towel', u'sensit', u'color', u'heat', u'adjust', u'otherwis'])"
20,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.,683,"set([u'offer', u'food', u'coat', u'could', u'restaur', u'display', u'chef', u'waiter', u'menu', u'imag'])"
21,Interactive menus at restaurants - press to learn more about an item,2130,"set([u'menu', u'interact', u'restaur', u'item', u'learn', u'press'])"
22,Menu boards for restaurants that can be changed or let people know when things are sold out,2145,"set([u'menu', u'sold', u'restaur', u'thing', u'let', u'board', u'peopl', u'chang', u'know'])"
23,Interactive text books for students,1603,"set([u'text', u'interact', u'book', u'student'])"
24,You can use it for research with aquatic animals. And show them stimulating photos underwater,1754,"set([u'and', u'use', u'anim', u'show', u'aquat', u'stimul', u'research', u'photo', u'you', u'underwat'])"
25,in the classroom make a giant interactive map,1973,"set([u'classroom', u'map', u'make', u'interact', u'giant'])"
26,It can be used in school as a way to show kids how different climates in different places might feel,2189,"set([u'use', u'school', u'climat', u'show', u'feel', u'it', u'place', u'way', u'differ', u'might', u'kid'])"
27,replays at the sporting event,1575,"set([u'replay', u'sport', u'event'])"
28,Schools can use it as a scoreboard at games,2148,"set([u'game', u'school', u'scoreboard', u'use'])"
29,It will remind you about daily activities.,746,"set([u'remind', u'activ', u'it', u'daili'])"
30,work projekcts,1066,"set([u'work', u'projekct'])"
31,keep reminders,1083,"set([u'remind', u'keep'])"
32,WiFi connectivity which could be used to search google right through the clothing.,1363,"set([u'search', u'right', u'googl', u'could', u'wifi', u'use', u'cloth', u'connect'])"
33,ability to write notes on clothes with touch sense,1591,"set([u'note', u'write', u'cloth', u'abil', u'touch', u'sens'])"
34,clothing with smartphone technology in a display,1810,"set([u'cloth', u'technolog', u'smartphon', u'display'])"
35,"a shirt that you can load data into the sleeve on, in case you need notes about something later",1921,"set([u'load', u'case', u'shirt', u'someth', u'later', u'note', u'sleev', u'need', u'data'])"
36,fabric billboards with advertisements,200,"set([u'billboard', u'advertis', u'fabric'])"
37,Create wearable advertisements where messages/brands on shirts/pants change periodically,573,"set([u'advertis', u'period', u'chang', u'creat', u'wearabl'])"
38,Business ad sheet display. Used to advertise business info in front of shop.,608,"set([u'info', u'shop', u'use', u'sheet', u'ad', u'busi', u'front', u'advertis', u'display'])"
39,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.,806,"set([u'week', u'differ', u'target', u'day', u'audienc', u'base', u'larg', u'time', u'billboard', u'advertis', u'order', u'chang'])"
40,Personalized billboards from companies that reflect changes in weather.,1143,"set([u'reflect', u'person', u'weather', u'billboard', u'compani', u'chang'])"
41,use it as a billboard,1874,"set([u'billboard', u'use'])"
42,can create interactive billboards or street signs,1984,"set([u'billboard', u'interact', u'street', u'creat', u'sign'])"
43,Airplane draggable banner that can display anything,2004,"set([u'banner', u'airplan', u'draggabl', u'display', u'anyth'])"
44,clothing for people who enjoy going to raves,263,"set([u'enjoy', u'cloth', u'rave', u'go', u'peopl'])"
45,t-shirts with built in fabric display. It can be used at kids parties for fun.,646,"set([u'use', u'built', u'parti', u'it', u'fabric', u'fun', u'display', u'kid'])"
46,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.,665,"set([u'enjoy', u'anytim', u'fabric', u'movi', u'imag', u'glass', u'sooth', u'wear', u'you'])"
47,Synchronization of clothing for public displays. [e.g. the opening ceremony of a grand event or for sports competitions.],1383,"set([u'event', u'competit', u'synchron', u'display', u'ceremoni', u'cloth', u'grand', u'sport', u'open', u'public'])"
48,Shirt shaped like a guitar perfect for strumming on the go.,1467,"set([u'perfect', u'shirt', u'guitar', u'shape', u'strum', u'go', u'like'])"
49,More realistic Halloween costumers,1770,"set([u'realist', u'halloween', u'costum', u'more'])"
50,Make bright vests that always glow for workers that work outside at night.,243,"set([u'vest', u'make', u'work', u'worker', u'alway', u'bright', u'outsid', u'night', u'glow'])"
51,light up children at night so parents can see them,1264,"set([u'light', u'see', u'children', u'parent', u'night'])"
52,Something to identify your child if he/she is lost or kidnapped. Like an alarm that goes off if the child goes off of an expected route to school or something. The clothing starts lighting up and grabs the attention of others.,1301,"set([u'school', u'identifi', u'like', u'lost', u'start', u'goe', u'light', u'someth', u'rout', u'cloth', u'other', u'expect', u'attent', u'child', u'grab', u'the', u'kidnap', u'alarm'])"
53,"Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress.",1600,"set([u'applic', u'fabric', u'color', u'notic', u'blink', u'caus', u'bright', u'emerg', u'wearer', u'distress'])"
