id,content
1279,Make your own invisible cloak.
1942,A tent that blends in with its sorouundings
2023,invisibility cloak
208,an indoor mural that can change
504,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.
803,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example."
1330,Make pretty cool little pictures appear on a white surface
1424,"Use it as a canvas for art, as it reacts to touch."
2018,Fabric posters that change display
2123,use to project paintings in frames so you can change the art at whim
291,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost
1628,Door mat that could leave messages for people at the door.
2177,it can be used to do skype sessions so someone can feel and touch objects
2187,It can be used by doctors in order to show patients and family members certain things
251,use them on a float for a parade to show whatever theme you are trying to represent during the event
1499,"hot air balloon shows,"
1652,Use during fashion shows to highlight clothing on the models.
2124,back drops for theater productions. This makes scenery easy to change from scene to scene
654,You can use it to display videos while taking shower or brushing your teeth.
1443,A towel that is heat sensitive and adjusts its color otherwise.
683,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.
2130,Interactive menus at restaurants - press to learn more about an item
2145,Menu boards for restaurants that can be changed or let people know when things are sold out
1603,Interactive text books for students
1754,You can use it for research with aquatic animals. And show them stimulating photos underwater
1973,in the classroom make a giant interactive map
2189,It can be used in school as a way to show kids how different climates in different places might feel
1575,replays at the sporting event
2148,Schools can use it as a scoreboard at games
746,It will remind you about daily activities.
1066,work projekcts
1083,keep reminders
1363,WiFi connectivity which could be used to search google right through the clothing.
1591,ability to write notes on clothes with touch sense
1810,clothing with smartphone technology in a display
1921,"a shirt that you can load data into the sleeve on, in case you need notes about something later"
200,fabric billboards with advertisements
573,Create wearable advertisements where messages/brands on shirts/pants change periodically
608,Business ad sheet display. Used to advertise business info in front of shop.
806,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.
1143,Personalized billboards from companies that reflect changes in weather.
1874,use it as a billboard
1984,can create interactive billboards or street signs
2004,Airplane draggable banner that can display anything
263,clothing for people who enjoy going to raves
646,t-shirts with built in fabric display. It can be used at kids parties for fun.
665,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.
1383,Synchronization of clothing for public displays. [e.g. the opening ceremony of a grand event or for sports competitions.]
1467,Shirt shaped like a guitar perfect for strumming on the go.
1770,More realistic Halloween costumers
243,Make bright vests that always glow for workers that work outside at night.
1264,light up children at night so parents can see them
1301,Something to identify your child if he/she is lost or kidnapped. Like an alarm that goes off if the child goes off of an expected route to school or something. The clothing starts lighting up and grabs the attention of others.
1600,"Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress."
1660,"Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination."
1703,This could be great for joggers or people that work in high traffic areas to increase their safety and visibility.
139,project your favorite logo on your clothes
285,"Put it on a shirt and have ""image changing"" clothing."
308,you can have different colored shirts or pants very easily without needing to buy duplicates
364,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)"
378,clothes that change color/pattern with emotion using the touch sensor
385,"Sports clothes that can change through out the year, showing your support for your team as a season progresses."
552,"Clothes that have interchangeable logos, etc."
633,sports teams gear
1159,"Put indicators of mood on clothing. If you don't want to be bothered, put something that indicates that."
1280,Use for people to design their own t-shirts.  People could create a design on a computer and then upload the image to the shirt.
1310,a shirt that has a couple different patterns you can choose from to coordinate with your other clothes.
1315,Ties that can change styles with the touch of a button.
1332,"Wearable picture frames that change pictures the way digital frames do, except you can wear these."
1369,You can create shirts with watches in the cuffs.
1614,night light pajamas
1647,"Perfect clothes for a date, can change based on where you take your date and what's appropriate for the area."
1653,"Since it is made out of fabric, this could one day be used as some sort of fashion item where images and videos are displayed onto a person's clothing."
1654,Being able to change the patterns on your clothing to match your mood throughout the day
1976,Clothing that can be changed from casual to formal colors and patterns.
2043,color changing clothes.  The clothes change color everytime they are touched
215,"A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless!"
248,upholstery material that changes color or patterns
306,bed sheets (sold in adult stores) which display an array of colors during love making
554,curtains that change colors/play background images like jungle scenery.
1995,Use it on table cloths. You could change it seasonally or just whenever you want depending on the function you're putting on.
2002,make pillows that look brighter during the day and darker at night (time based color shifting)
2149,"Furniture, changes when you sit on it or based on the users desire."
2156,Curtains that block light but project the view outside
2218,"If your bedsheets could display a high resolution image of a super model, well then you'd be set for life."
1334,night light for kids room
1637,Pillows with built-in sleep sounds and visuals.
2047,Mood changing bed comforter
1865,"An interactive sheet for pets.  They can lay on it, and it'll keep them entertained."
766,Can be used as a part of a phone.
1107,Replace stiff monitors.
1195,Integrate it somehow with 3D printing technology.
157,hide a seek on a blanket
237,Make soft interactive baby toys that are safe for use even when parents aren't around.
556,Entertain a child
592,Tie in with Twister to make a spinner unneccesary - spots light up where the next body part should go.
777,"Use it on the floor to make a far more realistic version of ""the floor is lava"" game"
1077,games
1251,Make it into a trampoline - foot touch.
1458,"make a rug that can display different games like twister, hopscotch etc."
1490,Dance floor carpet that flashes the next foot print spot after dancer hits appropriate spot.
1527,"It could be used as a versatile game board, like for board games."
1569,"A backpack for kids, they can play with it on the bus."
521,Portable tv
1214,"Be able to use your computer on the go, on any surface with a piece of cloth."
1482,"used with phone for larger screen/portability,"
1573,use to show movies anywhere
1831,Use the fabric as a projector to watch movies
1908,Parents could show kids movies int he back seat of the car without having to have a portable DVD player.
2155,use it to project your smart phone screen
272,holders for different foods that display the food on the outside
1470,An oven mit that is heat sensitive that turns red when something is very hot and cold when very cold.
337,Put a small piece in a car where it can display directions through touch.
444,car upholstery that lightens in hot weather
1316,Interactive map at a mall hang it up and touch were you want to go
1570,Use as a strategic planning surface in wartime. A foldable interactive map
2027,to have the fabric on car doors so they can display images and videos while driving in traffic so other people will see the information while on the roads
1408,Newspaper screen that expands certain articles when you touch them.
1786,Perhaps a new medium to replace magazine pages?
2024,"Single page, fabric books that can keep a saved state and be changed."
