id,content
139,project your favorite logo on your clothes
142,wear your favorite pattern and change the patterns with your outfit for the day
143,Schools can use it to have a large scale movie day
144,project your ideas that youre thinking on your clothes.  i.e. your blog
145,replacing old movie theaters with outdoor ones.
146,project family pictures on a blanket
147,A flag that can display different country's flags
148,Create a portable projector that can be attached to curtains in any room.
149,You can have videos of cars driving at car lots so customers can see the car in motion.
150,put pictures of family members on childrens blankets so they wont miss them so much
151,a large banner used for advertisments
152,project video games being played at birthday parties.
153,changing target practice
154,t-shirts that change colors and styles
155,Project video games at a tournament.
156,Make an App that you can customize designs that will change the display connected to your tshirt so you can make custom tshirts whenever you want.
157,hide a seek on a blanket
158,pants that change colors and styles
159,Being able to show family videos at reunions.
160,Sell to travelling salesman for pitches on the road for their presentations.
161,board games and wack'a'mole on pillows
162,hats that change colors and styles
163,use it at display stands in cosmetic areas for advertising
164,blinds that change with the weather outside
165,Provide to underfunded schools to replace their expensive projectors in classrooms.
166,A shirt which changes color in response to touch/wind sensations
167,"At weddings, have videos of their meeting and photos of the couple playing at the reception."
168,Give to medical missionaries to give presentations to local populations about illnesses.
169,"blinds that can change depending on what event is happening in the house.  i.e. birthday, funeral, etc."
170,use it to provide directions for people who are lost by touching the screen
171,"I would use this for large billboard types of advertising on buildings vs hard-wired hard surfaced types.  They fabric can be stretched and securely attached to buildings, etc. and easily disassembled.   It can have some movement as well which would enhance the advertising and catch the eye."
172,tent material that blends into different environments
173,fun interactive throw pillows
174,"record video of self reading a book. Hang in a crib for small child to show when gone, deployed."
175,"At prom, having videos shown of the past year that the students submitted being shown all night long."
176,Use in stores for unique display signage.
177,use it to on billboards for advertising
180,Schools can use it as a projector for classes.
181,hunting gear that changes its camo pattern to different environments
182,"Attach to a canvas to make ""custom art"" that owners can change when the feel like it."
184,Attach to a TV input so people can use it in place of a TV on a space like a projector screen or curtains.
185,A tablecloth which would be lit up at each person's station when they set down their plate.
186,use the handkerchief size to show small videos during business presentations
187,It can be used to advertise local places on the sidewalk even in teh rain.
188,Market it as a home decor trend and create patterns that can be displayed on curtains and other linens for a custom and changeable look.
189,"Have older relative, maybe mom or grandmother, do cooking video to display. in kitchen like a photo."
192,reusable textbook cover that changes its label depending on what book its on
193,Use in the military for covert missions where people must blend in with their surroundings.
195,use it as a message sender by giving the handkerchief to different people
196,Put in public spaces so people can interact with displays for advertising purposes.
197,"During a funeral, draping the casket with the fabric and having photos being played of the person while they are being escorted to the gravesite."
199,light up bedding that helps children who are afraid of the dark
200,fabric billboards with advertisements
201,frame the fabric as a picture so it can display multiple pictures or different pieces of art
202,fabric newspapers
203,Put them in bus stops and train stations to serve as notification services for when the next train is coming.
204,"Use for jogging at night for safety (t-shirt size).   It would give visibility to me so I would not be hit by a car, another jogger or pedestrian."
205,fabric magazines
206,use it for sports events by giving small cloths to fans at the games to display team colors
208,an indoor mural that can change
209,display master of animal on some sort of toy to keep pet interested while home alone. It will help keep interested if when touched the toy talks to pet.
210,Make games that can be bought on your smartphone and can be played whenever the device is attached to a cloth surface.
211,"Show to kids at daycares and play movies or cartoons on it. Let it be interactive as well so if they touch it, they can create something."
215,"A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless!"
216,Reusable newspapers.  have the app update with the most current news and sell a single newspaper that will be updated whenever users refresh their feed.
217,camo blanket that can change patterns to be used by soldiers
219,use it for awareness at charity events by giving people the fabric to show their support for a cause which also displays some images about their charity
220,"fun bath towels which light up when being used, and then (since they are waterproof) go back to their original color as they dry"
221,"Create a hard bound book with cloth pages that will serve as an ereader.  That way, people can still have the experience of reading a physical book, but it can be any book they want."
222,to be used as a backdrop for animals in a zoo exhibit
223,pocket squares
225,Billboards equipped with this would be inexpensive to change advertisement or display some sort of message.
226,Keep in the pocket of pants when trying to surprise someone with an engagement video or something like that.
228,"Use in a room to simulate the weather outside (clouds and stars on ceilings, etc.)"
231,red carpet for events that can change colors
232,"At Halloween, project scary images in the house."
233,Wearable advertising.  Give free clothes to people who then generate advertising revenue in return.
235,"Use as a quick ""set change"" for plays or theater arts."
237,Make soft interactive baby toys that are safe for use even when parents aren't around.
238,material can be used on shoes that allow the user to customize
240,Create a kind of interactive card like a buss pass that could give you updates when touched.
241,use it as warning signs for  various locations and display what could happen in the dangerous situation
242,Wearable moodwear.  Your clothes will change to fit the color/pattern which matches your mood and disposition.  People can immediately judge how they react to you and what you say.
243,Make bright vests that always glow for workers that work outside at night.
244,car seats that change patter or colors
245,Sell to hunters as a glowing safety jacket.
246,table cloth that changes colors or pattern
247,"Use for camouflage:   diving - to blend in with ocean marine life.  Make to look like water so certain species cannot see me (sharks, etc.).  Use for military Navy Diving Seals to camouflage them.   Use in military soldier uniforms to disguise them according to location type (desert, jungle, buildings, etc.)."
248,upholstery material that changes color or patterns
249,Make a jacket for paramedics and emergency responders that allows them to access information on the go.
250,"Have it playing aquarium scenes and if you touch the screen, the fish swim fast away."
251,use them on a float for a parade to show whatever theme you are trying to represent during the event
252,Living wallpaper.  Decorate your living- or workspace with cloth panels that show live or simulated scenes from other places/desired images.
253,Make Tee shirts with an interactive game to amuse small children.
254,phone and tablet cover material that changes color or pattern
255,Make seat back displays that children can play games on while in the car.
256,Sell to food trucks and other vendors as a portable marketing tool for their advertising.
257,billboard about home owners insurance that only shows up during strong winds--with a message about insurance for wind damage
260,car cover that displays a picture of the car underneath
261,use it to teach young children learning lessons during preschool by loading teaching images on the fabric that they can touch as they learn
262,Use for wearable art and fashion statements.   Fashion - colors could be easily blended and displayed on models.
263,clothing for people who enjoy going to raves
