,frequency_threshold,num_buckets,creativity,prototypicality,correlation,p-value
0,0,0,0,0,0.0,0.0
0,5,5,0,0,0.169761167091,0.063788656576
0,5,10,0,0,0.107307849493,0.24338543035
0,5,25,0,0,0.163969733102,0.0735294596636
0,5,50,0,0,0.160693067075,0.0795518566598
0,5,100,0,0,0.160406327442,0.0800971818254
0,10,5,0,0,-0.0388902715877,0.673227908717
0,10,10,0,0,-0.0246329342422,0.789425736359
0,10,25,0,0,-0.0263869333902,0.774817860906
0,10,50,0,0,-0.0241330737814,0.793602396303
0,10,100,0,0,-0.0279639903631,0.761750303783
0,25,5,0,0,,1.0
0,25,10,0,0,,1.0
0,25,25,0,0,,1.0
0,25,50,0,0,,1.0
0,25,100,0,0,,1.0
0,50,5,0,0,,1.0
0,50,10,0,0,,1.0
0,50,25,0,0,,1.0
0,50,50,0,0,,1.0
0,50,100,0,0,,1.0
0,100,5,0,0,,1.0
0,100,10,0,0,,1.0
0,100,25,0,0,,1.0
0,100,50,0,0,,1.0
0,100,100,0,0,,1.0
